YearMonth,Description,Month_Value,Month_Quantity,Orders
2010-07-01,ASSORTED COLOUR BIRD ORNAMENT,5059.09,3133,106
2010-07-01,BROCADE RING PURSE,219.17,1191,13
2010-07-01,DOTCOM POSTAGE,6655.29,64,64
2010-07-01,JUMBO BAG RED RETROSPOT,6681.85,3617,160
2010-07-01,Manual,5420.0599999999995,108,27
2010-07-01,PACK OF 60 PINK PAISLEY CAKE CASES,983.6400000000001,1878,84
2010-07-01,PACK OF 72 RETRO SPOT CAKE CASES,2303.66,4493,140
2010-07-01,PAPER CHAIN KIT 50'S CHRISTMAS,539.08,196,13
2010-07-01,PARTY BUNTING,1187.1100000000001,183,28
2010-07-01,POSTAGE,2835.5,146,57
2010-07-01,REGENCY CAKESTAND 3 TIER,18865.88,1544,229
2010-07-01,ROTATING SILVER ANGELS T-LIGHT HLDR,254.2,80,14
2010-07-01,SMALL POPCORN HOLDER,1677.91,2146,60
2010-07-01,STRAWBERRY CERAMIC TRINKET BOX,2714.96,2284,141
2010-07-01,WHITE HANGING HEART T-LIGHT HOLDER,10794.29,4043,239
2010-07-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,630.67,3015,41
2010-08-01,60 TEATIME FAIRY CAKE CASES,1707.03,3543,105
2010-08-01,ASSORTED COLOUR BIRD ORNAMENT,5055.63,3171,90
2010-08-01,BROCADE RING PURSE,336.24,1944,11
2010-08-01,DOTCOM POSTAGE,6671.23,58,58
2010-08-01,JUMBO BAG RED RETROSPOT,3793.21,1893,100
2010-08-01,Manual,10731.91,64,28
2010-08-01,PACK OF 60 PINK PAISLEY CAKE CASES,1860.94,3513,89
2010-08-01,PACK OF 72 RETRO SPOT CAKE CASES,2911.98,4748,127
2010-08-01,PAPER CHAIN KIT 50'S CHRISTMAS,776.14,270,28
2010-08-01,PARTY BUNTING,5502.110000000001,609,34
2010-08-01,POSTAGE,2768.88,111,45
2010-08-01,REGENCY CAKESTAND 3 TIER,13271.279999999999,1046,192
2010-08-01,ROTATING SILVER ANGELS T-LIGHT HLDR,479.72999999999996,173,21
2010-08-01,SMALL POPCORN HOLDER,1939.3,2574,65
2010-08-01,STRAWBERRY CERAMIC TRINKET BOX,2270.08,1657,128
2010-08-01,WHITE HANGING HEART T-LIGHT HOLDER,12846.71,4732,249
2010-08-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,960.3699999999999,5009,34
2010-09-01,60 TEATIME FAIRY CAKE CASES,1556.1100000000001,3043,123
2010-09-01,ASSORTED COLOUR BIRD ORNAMENT,6841.21,4273,124
2010-09-01,BROCADE RING PURSE,2640.11,13931,23
2010-09-01,DOTCOM POSTAGE,6436.58,61,61
2010-09-01,JUMBO BAG RED RETROSPOT,13620.53,7297,202
2010-09-01,Manual,41085.049999999996,214,59
2010-09-01,PACK OF 60 PINK PAISLEY CAKE CASES,1451.21,2836,94
2010-09-01,PACK OF 72 RETRO SPOT CAKE CASES,2133.4,4089,131
2010-09-01,PAPER CHAIN KIT 50'S CHRISTMAS,3267.07,1215,86
2010-09-01,PARTY BUNTING,3873.57,981,41
2010-09-01,POSTAGE,4404.0,213,81
2010-09-01,REGENCY CAKESTAND 3 TIER,24771.17,2061,246
2010-09-01,ROTATING SILVER ANGELS T-LIGHT HLDR,5083.629999999999,2692,38
2010-09-01,SMALL POPCORN HOLDER,2258.3399999999997,2890,88
2010-09-01,STRAWBERRY CERAMIC TRINKET BOX,2506.14,1825,143
2010-09-01,WHITE HANGING HEART T-LIGHT HOLDER,11895.17,4413,245
2010-09-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1060.8899999999999,4587,44
2010-10-01,60 TEATIME FAIRY CAKE CASES,1685.18,3359,136
2010-10-01,ASSORTED COLOUR BIRD ORNAMENT,9431.3,5994,153
2010-10-01,BROCADE RING PURSE,1256.47,6765,27
2010-10-01,DOTCOM POSTAGE,7071.43,56,56
2010-10-01,JUMBO BAG RED RETROSPOT,8172.34,4444,205
2010-10-01,Manual,52738.38,118,74
2010-10-01,PACK OF 60 PINK PAISLEY CAKE CASES,1617.64,3213,126
2010-10-01,PACK OF 72 RETRO SPOT CAKE CASES,415.20000000000005,840,22
2010-10-01,PAPER CHAIN KIT 50'S CHRISTMAS,8447.92,2988,183
2010-10-01,PARTY BUNTING,4182.11,961,100
2010-10-01,POSTAGE,6678.78,290,94
2010-10-01,REGENCY CAKESTAND 3 TIER,23904.01,1965,266
2010-10-01,ROTATING SILVER ANGELS T-LIGHT HLDR,8908.08,4634,73
2010-10-01,SMALL POPCORN HOLDER,3916.92,5125,126
2010-10-01,STRAWBERRY CERAMIC TRINKET BOX,3415.4700000000003,2527,159
2010-10-01,WHITE HANGING HEART T-LIGHT HOLDER,12829.41,4613,297
2010-10-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1265.9499999999998,5627,44
2010-11-01,60 TEATIME FAIRY CAKE CASES,1191.01,2312,119
2010-11-01,ASSORTED COLOUR BIRD ORNAMENT,14626.470000000001,9287,235
2010-11-01,BROCADE RING PURSE,2024.1699999999998,10643,37
2010-11-01,DOTCOM POSTAGE,15289.92,59,59
2010-11-01,JUMBO BAG RED RETROSPOT,11469.82,6435,250
2010-11-01,Manual,2935.52,435,46
2010-11-01,PACK OF 60 PINK PAISLEY CAKE CASES,1581.01,3104,125
2010-11-01,PACK OF 72 RETRO SPOT CAKE CASES,182.4,360,9
2010-11-01,PAPER CHAIN KIT 50'S CHRISTMAS,28341.81,7243,329
2010-11-01,PARTY BUNTING,2601.45,559,87
2010-11-01,POSTAGE,8167.88,366,112
2010-11-01,REGENCY CAKESTAND 3 TIER,28151.329999999998,2210,283
2010-11-01,ROTATING SILVER ANGELS T-LIGHT HLDR,25710.94,12445,110
2010-11-01,SMALL POPCORN HOLDER,10291.52,9184,211
2010-11-01,STRAWBERRY CERAMIC TRINKET BOX,3620.4100000000003,2863,158
2010-11-01,WHITE HANGING HEART T-LIGHT HOLDER,18445.75,6667,396
2010-11-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2098.91,9605,77
2010-12-01,60 TEATIME FAIRY CAKE CASES,280.71000000000004,510,37
2010-12-01,ASSORTED COLOUR BIRD ORNAMENT,2506.84,1516,60
2010-12-01,BROCADE RING PURSE,182.32999999999998,1025,13
2010-12-01,DOTCOM POSTAGE,12803.37,21,21
2010-12-01,JUMBO BAG RED RETROSPOT,2566.8,1418,66
2010-12-01,Manual,1101.39,119,17
2010-12-01,PACK OF 60 PINK PAISLEY CAKE CASES,331.9,564,31
2010-12-01,PAPER CHAIN KIT 50'S CHRISTMAS,5257.35,1455,99
2010-12-01,PARTY BUNTING,791.07,162,24
2010-12-01,POSTAGE,1915.0,98,35
2010-12-01,REGENCY CAKESTAND 3 TIER,13478.98,1058,89
2010-12-01,ROTATING SILVER ANGELS T-LIGHT HLDR,3087.32,1092,40
2010-12-01,SMALL POPCORN HOLDER,1368.1399999999999,1361,64
2010-12-01,STRAWBERRY CERAMIC TRINKET BOX,1359.91,904,36
2010-12-01,WHITE HANGING HEART T-LIGHT HOLDER,5592.13,1905,116
2010-12-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,752.37,3759,17
