,INSIGHT : CUSTOMER PROMOTION DATASET BASED ON LAST PURCHASE,,,,,,,,,,,,,,,,,
12391,5,198,2312.53,462.51,0.03,0.1,426.30,B,507.90,1,01-09-2010 12:38,HEART OF WICKER SMALL,100,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12393,2,46,816.85,408.43,0.04,0.1,648.15,A,655.88,0,22-11-2010 16:10,LUNCH BAG  BLACK SKULL.,18,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12395,4,231,2048.64,512.16,0.02,0.1,323.70,B,471.13,1,03-12-2010 16:35,PACK OF 60 DINOSAUR CAKE CASES,7,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12399,3,259,853.65,284.55,0.01,0.1,120.30,D,12.45,1,19-11-2010 08:53,MINI PAINT SET VINTAGE ,21,D,Low,1,WINBACK,Reactivate: 20% comeback code
12402,5,277,1031.30,206.26,0.02,0.1,135.89,D,-55.56,1,12-11-2010 09:50,POPPY'S PLAYHOUSE BEDROOM ,28,D,Low,1,WINBACK,Reactivate: 20% comeback code
12406,3,297,2975.06,991.69,0.01,0.1,365.62,B,1108.31,1,05-11-2010 11:42,SKULL LUNCH BOX WITH CUTLERY ,35,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12408,3,112,1452.22,484.07,0.03,0.1,473.27,B,563.77,0.99,19-11-2010 13:21,RETRO PLASTIC 70'S TRAY,21,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12409,4,144,12346.62,3086.66,0.03,0.1,3129.53,A,4936.82,1,15-10-2010 10:24,WOODLAND CHARLOTTE BAG,56,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12412,3,137,1370.05,456.68,0.02,0.1,365.01,B,453.06,1,02-11-2010 17:02,POSTAGE,38,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12415,7,152,19543.84,2791.98,0.05,0.1,4693.09,A,5260.69,0.98,29-11-2010 15:07,FELTCRAFT PRINCESS OLIVIA DOLL,11,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12417,11,323,3167.81,287.98,0.03,0.1,357.97,B,259.99,1,25-10-2010 14:27,POSTAGE,46,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12418,3,216,1352.62,450.87,0.01,0.1,228.57,C,320.33,1,22-10-2010 10:29,HAND WARMER UNION JACK,49,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12419,2,27,503.01,251.51,0.07,0.1,680.00,A,788.98,0,19-11-2010 10:04,ELEPHANT CARNIVAL POUFFE,21,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12421,2,90,291.56,145.78,0.02,0.1,118.24,D,-10.10,0.02,20-10-2010 14:28,15CM CHRISTMAS GLASS BALL 20 LIGHTS,51,D,Low,0,LIGHT_NURTURE,Low-cost email drip series
12422,14,327,4428.24,316.30,0.04,0.1,494.28,B,432.01,1,10-11-2010 13:19,3 HEARTS HANGING DECORATION RUSTIC,30,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12423,2,78,763.08,381.54,0.03,0.1,357.08,B,391.66,0.01,17-11-2010 11:33,RED RETROSPOT PURSE ,23,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
12424,2,125,1579.07,789.54,0.02,0.1,461.09,B,877.71,0.99,13-10-2010 10:29,PINK HAPPY BIRTHDAY BUNTING,58,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12429,5,180,3735.51,747.10,0.03,0.1,757.48,A,1043.70,1,09-12-2010 12:05,ALARM CLOCK BAKELIKE ORANGE,1,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12431,13,320,4370.52,336.19,0.04,0.1,498.51,B,454.18,1,01-12-2010 10:03,BLACK/BLUE POLKADOT UMBRELLA,9,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12433,5,110,7205.39,1441.08,0.05,0.1,2390.88,A,2496.52,0.99,08-12-2010 16:49,RED RETROSPOT TISSUE BOX,2,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12435,4,340,6096.04,1524.01,0.01,0.1,654.43,A,2060.20,1,08-11-2010 10:07,20 DOLLY PEGS RETROSPOT,32,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12437,21,341,7731.99,368.19,0.06,0.1,827.62,A,821.88,1,09-11-2010 14:46,POSTAGE,31,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12439,2,43,1158.18,579.09,0.05,0.1,983.11,A,951.32,0,26-01-2010 12:11,PINK HEART SHAPE EGG FRYING PAN,318,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12440,2,255,859.20,429.60,0.01,0.1,122.98,D,189.50,1,03-09-2010 13:11,RED SPOTTY BOWL,98,D,Low,1,WINBACK,Reactivate: 20% comeback code
12449,2,28,768.60,384.30,0.07,0.1,1001.93,A,958.15,0,25-10-2010 12:21,POSTAGE,46,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12450,3,75,490.32,163.44,0.04,0.1,238.62,C,223.08,0,05-11-2010 16:27,RED RETROSPOT CHARLOTTE BAG,35,C,Medium,0,CROSS_SELL,Add complementary product recommendation
12451,3,66,3634.36,1211.45,0.05,0.1,2009.91,A,1961.52,0.01,02-09-2010 15:38,HELLO SAILOR BLUE SOAP HOLDER,99,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12454,4,25,13151.44,3287.86,0.16,0.1,19201.10,A,6888.43,0.01,09-11-2010 10:09,DOCTOR'S BAG SOFT TOY,31,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12455,4,276,3413.09,853.27,0.01,0.1,451.37,B,992.56,1,20-09-2010 14:39,HAND OVER THE CHOCOLATE   SIGN ,81,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12458,2,60,830.09,415.05,0.03,0.1,504.97,B,540.26,0,08-10-2010 11:36,RED TOADSTOOL LED NIGHT LIGHT,63,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
12468,3,156,2941.20,980.40,0.02,0.1,688.17,A,1249.27,1,01-07-2010 10:28,ROMANTIC PINKS RIBBONS ,162,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12469,2,14,3070.54,1535.27,0.14,0.1,8005.34,A,3554.46,0,05-07-2010 12:40,IVORY ENCHANTED FOREST PLACEMAT,158,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12471,49,358,20139.74,411.02,0.14,0.1,2053.35,A,2110.06,1,30-11-2010 14:35,BIG DOUGHNUT FRIDGE MAGNETS,10,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12472,13,356,11308.48,869.88,0.04,0.1,1159.44,A,1671.93,1,05-12-2010 14:19,CARD MOTORBIKE SANTA,5,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12474,13,288,5048.66,388.36,0.05,0.1,639.85,A,644.35,1,26-11-2010 12:19,GREY FLORAL FELTCRAFT SHOULDER BAG,14,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12476,12,105,7298.99,608.25,0.11,0.1,2537.27,A,2033.67,1,08-11-2010 09:35,POSTAGE,32,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12477,3,223,7056.63,2352.21,0.01,0.1,1155.01,A,3343.07,1,05-11-2010 09:35,FRYING PAN BLUE POLKADOT,35,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12480,3,108,2183.22,727.74,0.03,0.1,737.85,A,965.36,1,05-11-2010 15:08,RED RETROSPOT SHOPPER BAG,35,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12481,6,241,6765.07,1127.51,0.02,0.1,1024.59,A,1722.26,1,09-12-2010 10:13,VINTAGE HEADS AND TAILS CARD GAME ,1,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12482,29,77,23691.40,816.94,0.38,0.1,11230.34,A,6364.35,0.03,12-05-2010 16:51, PAINT YOUR OWN CANVAS SET,212,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12483,11,298,2635.60,239.60,0.04,0.1,322.82,B,194.68,1,26-11-2010 12:35,RED TOADSTOOL LED NIGHT LIGHT,14,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12484,6,197,1828.43,304.74,0.03,0.1,338.77,B,294.40,1,13-08-2010 13:45,CONGRATULATIONS BUNTING,119,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12490,11,360,4405.71,400.52,0.03,0.1,446.69,B,456.85,1,26-11-2010 14:16,GINGERBREAD MAN COOKIE CUTTER,14,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12494,3,210,626.77,208.92,0.01,0.1,108.94,D,-58.43,1,09-12-2010 11:31,POSTAGE,1,D,Low,1,WINBACK,Reactivate: 20% comeback code
12497,2,244,5205.40,2602.70,0.01,0.1,778.68,A,3486.59,0.99,04-11-2010 12:31,BLUE PAISLEY JOURNAL ,36,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12500,8,238,1697.39,212.17,0.03,0.1,260.31,C,134.68,1,30-09-2010 18:45,JUMBO  BAG BAROQUE BLACK WHITE,71,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12504,2,179,297.00,148.50,0.01,0.1,60.56,D,-169.18,1,18-10-2010 15:09,72 SWEETHEART FAIRY CAKE CASES,53,D,Low,1,WINBACK,Reactivate: 20% comeback code
12510,7,276,4195.45,599.35,0.03,0.1,554.83,B,770.90,1,06-09-2010 14:27,RETRO COFFEE MUGS ASSORTED,95,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12516,2,168,1336.56,668.28,0.01,0.1,290.38,C,630.13,1,05-10-2010 09:43,JUMBO BAG PINK POLKADOT,66,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12523,12,357,2582.38,215.20,0.03,0.1,264.02,C,73.65,1,30-11-2010 12:31,BABY MOUSE RED GINGHAM DRESS,10,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12524,9,280,6640.39,737.82,0.03,0.1,865.62,A,1187.03,1,16-11-2010 09:08,POSTAGE,24,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12525,3,149,973.73,324.58,0.02,0.1,238.53,C,217.24,1,29-07-2010 16:08,SET OF 3 CONEY ISLAND OVAL BOXES,134,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12527,2,34,386.80,193.40,0.06,0.1,415.24,B,517.20,0,02-08-2010 12:23,CAKE STAND WHITE TWO TIER LACE,130,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
12530,5,227,2096.98,419.40,0.02,0.1,337.18,B,383.54,1,20-10-2010 15:15,SET/10 RED POLKADOT PARTY CANDLES,51,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12533,2,110,1367.89,683.95,0.02,0.1,453.89,B,749.21,0.99,22-03-2010 10:56,GLASS CHALICE GREEN  LARGE ,263,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12539,3,265,5646.40,1882.13,0.01,0.1,777.71,A,2553.48,1,15-09-2010 09:50,PHARMACIE FIRST AID TIN,86,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12540,16,353,8854.25,553.39,0.05,0.1,915.52,A,1082.11,1,26-11-2010 10:43,PACK OF 72 RETROSPOT CAKE CASES,14,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12542,2,156,481.88,240.94,0.01,0.1,112.75,D,-1.46,1,12-08-2010 19:12,COLOUR GLASS T-LIGHT HOLDER HANGING,120,D,Low,1,WINBACK,Reactivate: 20% comeback code
12549,6,121,1575.68,262.61,0.05,0.1,475.31,B,471.73,1,13-05-2010 12:05,LUNCH BOX WITH CUTLERY FAIRY CAKES ,211,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12553,2,37,916.47,458.24,0.05,0.1,904.09,A,860.24,0,19-11-2010 12:18,MAKE YOUR OWN FLOWERPOWER CARD KIT,21,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12557,4,351,6725.18,1681.30,0.01,0.1,699.34,A,2315.21,1,03-12-2010 12:20,LUNCH BAG SUKI  DESIGN ,7,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12562,2,49,1185.18,592.59,0.04,0.1,882.84,A,901.89,0,19-11-2010 09:35,CHILDS BREAKFAST SET DOLLY GIRL ,21,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12567,7,299,4308.58,615.51,0.02,0.1,525.96,B,770.44,1,07-12-2010 10:36,FELTCRAFT DOLL MARIA,3,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12573,4,83,556.87,139.22,0.05,0.1,244.89,C,266.80,0,23-11-2010 13:01,"LETTER ""C"" BLING KEY RING",17,C,Medium,0,CROSS_SELL,Add complementary product recommendation
12575,2,69,622.82,311.41,0.03,0.1,329.46,B,328.50,0,08-09-2010 13:09,RED SPOTTY CUP,93,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
12576,3,133,826.89,275.63,0.02,0.1,226.93,C,173.75,1,12-11-2010 12:44,WOOD STOCKING CHRISTMAS SCANDISPOT,28,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12577,5,354,995.95,199.19,0.01,0.1,102.69,D,-142.17,1,23-11-2010 14:06,HEARTS GIFT TAPE,17,D,Low,1,WINBACK,Reactivate: 20% comeback code
12578,2,58,1847.94,923.97,0.03,0.1,1162.93,A,1324.90,0.01,19-11-2010 17:21,FELTCRAFT DOLL EMILY,21,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12582,2,155,1469.04,734.52,0.01,0.1,345.94,B,746.90,1,13-10-2010 10:52,CARD MOTORBIKE SANTA,58,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12583,13,359,7166.06,551.24,0.04,0.1,728.58,A,903.30,1,01-12-2010 08:45,SPACEBOY LUNCH BOX ,9,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12586,3,348,1865.73,621.91,0.01,0.1,195.69,C,483.12,1,30-11-2010 10:47,CHILDS BREAKFAST SET DOLLY GIRL ,10,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12588,3,198,743.88,247.96,0.02,0.1,137.13,D,18.37,1,05-11-2010 12:53,POSTAGE,35,D,Low,1,WINBACK,Reactivate: 20% comeback code
12589,6,267,4048.98,674.83,0.02,0.1,553.51,B,853.51,1,14-10-2010 11:54,LUNCH BOX I LOVE LONDON,57,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12591,2,18,899.30,449.65,0.11,0.1,1823.58,A,1532.48,0,14-11-2010 14:32,ADVENT CALENDAR GINGHAM SACK,26,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12594,5,267,1751.89,350.38,0.02,0.1,239.49,C,208.91,1,26-11-2010 12:17,FAIRY TALE COTTAGE NIGHTLIGHT,14,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12598,3,185,1511.01,503.67,0.02,0.1,298.12,B,443.23,1,02-09-2010 14:22,4 TRADITIONAL SPINNING TOPS,99,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12599,6,196,1264.14,210.69,0.03,0.1,235.41,C,124.03,1,23-11-2010 15:49,12 PENCILS SMALL TUBE RED RETROSPOT,17,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12600,12,360,2444.88,203.74,0.03,0.1,247.88,C,42.69,1,03-12-2010 12:57,JUMBO BAG RED RETROSPOT,7,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12605,4,81,1232.95,308.24,0.05,0.1,555.59,B,564.63,0.01,28-11-2010 14:18,CARD BIRTHDAY COWBOY,12,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
12609,6,345,2309.01,384.84,0.02,0.1,244.29,C,233.11,1,30-11-2010 14:48,RIBBON REEL HEARTS DESIGN ,10,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12613,5,337,3490.69,698.14,0.01,0.1,378.07,B,747.80,1,16-11-2010 17:17,BLUE SPOT CERAMIC DRAWER KNOB,24,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12615,4,217,3449.79,862.45,0.02,0.1,580.26,A,1075.87,1,22-10-2010 09:45,20 DOLLY PEGS RETROSPOT,49,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12621,16,302,11086.14,692.88,0.05,0.1,1339.88,A,1559.40,1,09-12-2010 10:16,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12623,6,279,3442.74,573.79,0.02,0.1,450.39,B,652.33,1,19-10-2010 09:35,SMALL RED BABUSHKA NOTEBOOK ,52,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12625,2,87,2481.06,1240.53,0.02,0.1,1040.90,A,1656.97,0.05,18-07-2010 15:56,LUNCH BAG RED SPOTTY,145,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12629,2,37,1558.22,779.11,0.05,0.1,1537.16,A,1345.88,0,19-11-2010 09:18,POPPY'S PLAYHOUSE LIVINGROOM ,21,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12631,5,237,2841.07,568.21,0.02,0.1,437.55,B,630.02,1,09-09-2010 14:50,JUMBO BAG RED RETROSPOT,92,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12632,2,44,804.88,402.44,0.05,0.1,667.68,A,671.04,0,07-07-2010 09:39,VINTAGE CARAVAN GIFT WRAP,156,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12633,3,143,3514.18,1171.39,0.02,0.1,896.98,A,1579.12,0.97,22-11-2010 13:09,RED SPOT CERAMIC DRAWER KNOB,18,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12634,2,12,490.00,245.00,0.17,0.1,1490.42,A,1885.49,0,22-06-2010 10:05,POSTAGE,171,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12635,2,64,1241.23,620.62,0.03,0.1,707.89,A,825.19,0,12-11-2010 15:46,GREEN FERN JOURNAL ,28,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12637,4,165,2318.41,579.60,0.02,0.1,512.86,B,689.99,1,26-11-2010 13:50,CUTE CATS TAPE,14,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12639,2,193,826.27,413.14,0.01,0.1,156.26,D,216.70,1,01-10-2010 12:17,RED 3 PIECE RETROSPOT CUTLERY SET,70,D,Low,1,WINBACK,Reactivate: 20% comeback code
12643,6,225,5005.78,834.30,0.03,0.1,812.05,A,1211.01,1,19-11-2010 12:42,POSTAGE,21,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12644,3,263,1440.58,480.19,0.01,0.1,199.93,C,320.75,1,05-10-2010 10:23,STRAWBERRY LUNCH BOX WITH CUTLERY,66,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12645,4,259,1764.12,441.03,0.02,0.1,248.61,C,319.78,1,26-10-2010 18:44,PACK OF 60 DINOSAUR CAKE CASES,45,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12647,27,327,14201.53,525.98,0.08,0.1,1585.19,A,1669.17,1,07-12-2010 12:28,SET/2 RED RETROSPOT TEA TOWELS ,3,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12648,3,263,793.95,264.65,0.01,0.1,110.19,D,-22.79,1,28-09-2010 10:35,RED SPOTTY BISCUIT TIN,73,D,Low,1,WINBACK,Reactivate: 20% comeback code
12649,5,313,1671.14,334.23,0.02,0.1,194.88,C,131.41,1,22-11-2010 12:57,WOODLAND DESIGN  COTTON TOTE BAG,18,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12651,3,86,263.75,87.92,0.03,0.1,111.94,D,37.94,0.02,26-11-2010 11:58,CHRISTMAS MUSICAL ZINC HEART ,14,D,Low,0,LIGHT_NURTURE,Low-cost email drip series
12656,3,137,2356.66,785.55,0.02,0.1,627.87,A,977.22,1,10-10-2010 10:43,BOX OF 24 COCKTAIL PARASOLS,61,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12662,10,244,3138.24,313.82,0.04,0.1,469.45,B,426.61,1,01-12-2010 13:04,JUMBO BAG WOODLAND ANIMALS,9,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12663,2,43,239.40,119.70,0.05,0.1,203.21,C,256.04,0,25-03-2010 09:40,EMPIRE UNION JACK TV DINNER TRAY,260,C,Medium,0,CROSS_SELL,Add complementary product recommendation
12664,2,212,1188.16,594.08,0.01,0.1,204.57,C,472.73,1,13-07-2010 13:28,POSTAGE,150,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12665,2,251,250.60,125.30,0.01,0.1,36.44,D,-268.13,1,18-10-2010 11:34,BATHROOM METAL SIGN,53,D,Low,1,WINBACK,Reactivate: 20% comeback code
12668,6,298,7637.53,1272.92,0.02,0.1,935.47,A,1912.08,1,26-11-2010 11:48,FRYING PAN BLUE POLKADOT,14,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12670,2,280,764.24,382.12,0.01,0.1,99.62,D,100.38,1,19-11-2010 10:05,BAKING SET SPACEBOY DESIGN,21,D,Low,1,WINBACK,Reactivate: 20% comeback code
12675,2,24,958.50,479.25,0.08,0.1,1457.72,A,1244.84,0,04-06-2010 09:49,CLASSIC METAL BIRDCAGE PLANT HOLDER,189,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12676,5,74,1511.70,302.34,0.07,0.1,745.64,A,774.36,0,27-10-2010 09:36,PLASTERS IN TIN CIRCUS PARADE ,44,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12677,2,111,395.10,197.55,0.02,0.1,129.92,D,10.75,1,02-06-2010 14:30,SET OF 3 CASES WOODLAND DESIGN,191,D,Low,1,WINBACK,Reactivate: 20% comeback code
12678,9,325,16652.72,1850.30,0.03,0.1,1870.23,A,3427.50,1,29-11-2010 09:55,3 TRADITIONAl BISCUIT CUTTERS  SET,11,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12681,24,358,17080.74,711.70,0.07,0.1,1741.47,A,2026.30,1,07-12-2010 10:08,WOODLAND  STICKERS,3,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12682,23,373,11745.69,510.68,0.06,0.1,1149.38,A,1279.80,1,09-12-2010 14:49,4 TRADITIONAL SPINNING TOPS,1,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12683,8,360,4220.21,527.53,0.02,0.1,427.88,B,584.94,1,09-12-2010 12:17,PACK OF 20 NAPKINS PANTRY DESIGN,1,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12693,3,126,847.11,282.37,0.02,0.1,245.39,C,201.89,1,08-11-2010 14:57,POSTAGE,32,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12695,3,137,825.02,275.01,0.02,0.1,219.80,C,163.49,1,29-06-2010 16:12,DOOR MAT UNION FLAG,164,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12696,2,74,851.91,425.96,0.03,0.1,420.20,B,476.79,0,01-10-2010 10:43,BLUE 3 PIECE MINI DOTS CUTLERY SET,70,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
